Author_name,Batch_name,Review_date,total_star_comment,all_stars,Title_comment,Placements,Infrastructure,Faculty,other
shyam Arem,shyam Arem | B.Tech. in Computer Science and Engineering - Batch of 2026,Reviewed on 25 May 2024,4.2,4.2 \nPlacements 4\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 5\nValue for Money 3,It’s a good college but has too many students.,"Placements: As per the information from the previous batches, almost everyone got placed in MNCs with a package of 7-8 LPA. I guess this won't be the case for my batch because the intake is higher in my batch as around 1.6k students from 2022-2026 batches have higher placement records.","Infrastructure: The infrastructure at the Alliance University is very good. The classes are very good with nice seating arrangements. A very nice library is maintained, it’s a good place to study also. It’s a good place to hangout but in case of the hostel, the fees is too high going up to around 2L a year.","Faculty: The faculty members are very good. Almost all of them are IIT graduates but it depends on person to person, some understand the accent while the others don't. The course curriculum is good. In each semester, we have 5 modules out of which 2 modules are for mid semester exams and the remaining 3 are for end semester exams. In order to pass an exam, you need to get above 50 percent in every subject.","Other: I had chosen this to improve my communication skills in an easy manner. There are many events, fests, extra curricular activities etc. it will be very joyful in college."
Sanjana das,Sanjana das | Master of Business Administration (MBA) - Batch of 2024,Reviewed on 7 Mar 2024,4,4.0 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 4\nValue for Money 3,Outstanding infrastructure and Teaching .,"Placements: MBA programme has high placement rate. On average, 90% of students secure placements. The highest package offered is around 25 LPA, While the lowest is 6 LPA, With an average offered is around 10 LPA. Top recruiters include Deloitte, EY, and Goldman Sachs. Around 80% of students secure internships in companies like Amazon, Google and Microsoft. Top roles include management consulting, finance and marketing.","Infrastructure: The college has excellent facilities like Wi-Fi, well-equipped labs, modern classrooms, and a vast library. Hostel facilities are good with clean rooms, and the mess/canteen offer decent food. Medical services readily available, and there are ample opportunities for sports and games.","Faculty: Teachers here are highly qualified, supportive, and knowledgeable, ensuring excellent teaching quality. The curriculum is industry relevant, preparing students effective. Semester exams are challenging yet fair, with high pass percentage, fostering academic excellence.","Other: The crowd is a lot here. Other than that, the extracurricular and fests and clubs are very well organized. One will definitely enjoy his/her college days."
Anonymous,Anonymous | B.Tech. in Computer Science and Engineering - Batch of 2025,Reviewed on 30 Jan 2024,3,3.0 \nPlacements 3\nInfrastructure 3\nFaculty & Course Curriculum 3\nCrowd & Campus Life 4\nValue for Money 2,"The campus life was worse before but is improving now, offering a great experience.","Placements: The top companies visited this year were Altair Teach, Maersk, E2open, Johnsons Control, Covalence, Relanto Techz, etc. E2open recruited over 4-5 students, offering a package of 8 Lacs, which includes some shares. The average salary is relatively low, with only about 50-60% of people getting placed, and the highest being about 10-12 Lacs. This is a shift from the previous year when one student secured an off-campus placement of 54 LPA.","Infrastructure: The infrastructure of ACED (Alliance College of Engineering and Design) is not what some might expect, even though many things are still under construction. In the current state, there are more students and fewer classrooms or seating arrangements. However, some facilities are still being constructed, and in 2-3 years, it is expected to improve. Regarding the hostel, the facilities, including the mess food, are better compared to other private college messes. Despite the initial challenges, the hostel provides good facilities.","Faculty: As in any college, the faculty is generally good, with some professors motivating students to engage in research work, publish papers, and participate in extracurricular activities. While some faculty members could be better, overall, the faculty is considered good, and the exam pattern is similar to that of other colleges.",Other: We are the biggest batch till date in our college. There are many extracurricular activities being held on our campus by the student services.
Anonymous,Anonymous | B.Tech. in Artificial Intelligence and Machine Learning - Batch of 2027,Reviewed on 29 Feb 2024,4.6,4.6 \nPlacements 3\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,Really good infrastructure and facilities.,"Placements: 56% students are placed in good companies in our CSE course. The highest package is 60 Lacs and the lowest Package is 6 Lacs and average Package is 10 Lacs.48% of Students got Internship from Campus Selection companies are Flipkart, Cognizant, IBM, Wipro and many others.","Infrastructure: The Facilities are provided with a modernized classroom with projector and TV. Wi-Fi connectivity on campus, Labs with equipped materials. Library with more number of books. I think Hostel is providing good facilities with good food. Mechanical facilities and sports.",Faculty: Teachers are supportive in classroom. They teach effective and understanding way. Teachers are more qualified with Masters and Higher Degrees. The students are trained for Industry Ready. The Semester are difficult to pass in all CSE subjects. Pass percentage is 50%.,"Other: I learned a lot of new and interesting things in this course. The best thing about B.Com is that it covers all the subjects like Mathematics, Science, Law, communication, Marketing, Finance, O level and much more. All big events are celebrated with a huge crowd."
SanjanaaSatish,SanjanaaSatish | Bachelor of Business Administration (BBA) - Batch of 2025,Reviewed on 6 Feb 2024,4.6,4.6 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 5\nValue for Money 4,"Alliance University, Bangalore .","Placements: When it comes to placements, Compared to other colleges in our state, our provides offer a higher number of placements. Almost 60% were placed in different international corporations in past years. The placement procedure is very simple and pleasant throughout. Our college is also very helpful with the placement process.","Infrastructure: Alliance University Infrastructure is world class inclusive of all the necessary infrastructure, facilities and equipment. The campus is well-equipped with all the amenities and tools required. The classroom is spacious and tidy. It foster an atmosphere conducive to learning. The campus is covered with lush greenery. Wi-Fi is quite fast. The atmosphere on campus is both inspiring and alluring. Campus has a large library With all the books you may ever need. There is an activity Center on campus featuring a gym, yoga studio, and many other amenities. The meals and hostel facilities are excellent. As a hostel president, I cherish the best memories and enjoy excellent facilities, including 24-hrs power backup, ending machines for snacks, coolers, security and friendly wardens and covers it's the best. Hostels offer single, double and triple sharing rooms. The cuisine is of excellent quality. Yes, we have establishment named Nescafu00e9 and Aromas. Medical services are offered around the clock. A variety of sports including volleyball, badminton, basketball, football and cricket are played. They host many events to engage with the students. Often they are many events and many engaging activities for entertainment and involvement.","Faculty: Faculty members are all Ph.D. holders, bringing a wealth of expertise and education to their respective fields. The method of methodology was effective. And the course material is current and well-designed. The faculty members are really beneficial. Faculty members are very friendly in nature and experienced. They provide us quality education and timely exams.","Other: Overall, the college is good but the main drawback is that they intake too many students which may result into a lot of competition during placements. The feed is around 1,16,789 per year for CET students and 3.5L for the management students. In case of events, they’re very rare, but a lot of small events occur frequently."
Anonymous,Anonymous | Executive PGDM - Batch of 2021,Reviewed on 5 Feb 2024,3.6,3.6 \nPlacements 3\nInfrastructure 4\nFaculty & Course Curriculum 4\nCrowd & Campus Life 3\nValue for Money 4,College facilities were very good.,"Placements: At our college, 40-50% of students were successfully placed. Multiple companies visit our college for the placements. Top recruiting companies for our courses were Kantar, MyGate, HCL, etc. For the placements. The average package offered in our course was 4-9 LPA. Top roles offered were executive, manager, etc.","Infrastructure: Our college is a very good college for PGDM. The college has very supportive management. They provide all the facilities to the students. Our department has facilities like Wi-Fi, labs, library, sports facilities, etc. The college hostel is also located near the college. The food in the mess was good.","Faculty: Professors at our college were very experienced in the field of teaching. They were highly qualified and knowledgeable. The course curriculum followed in this college was absolutely relevant and made the students job-ready. Exams at our college were easy to pass, and the pass percentage was 40%.","Other: I chose this course because it was my dream. The best thing about this course is that you can learn a lot regarding law and business. There are a lot of events and fests conducted at Alliance University, and they conducte Maitri fest, where three universities participate. The campus crowd and connectivity are good. Campus surroundings are full of greenery. We even have extracurricular activities such as painting, drawing, gym, NSS, legal-aid service etc."
Anonymous,Anonymous | BBA LL.B. (Hons.) - Batch of 2028,Reviewed on 5 Nov 2023,4,4.0 \nPlacements 3\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 4,Alliance university. School of law .,Placements: 85-90% of student gets placed in the campus placement. Those who sit for the interview. The highest package offered is around 11 LPA Average is 3-4 LPA There are many legal and consultancy companies. Who come to our college provides internships also CAN office deals with the placement and internships.,"Infrastructure: Alliance has good campus with Wi-Fi and hostel Alliance library is vast and there are many books in the library. They provide online contents also We have Cricket ground Football ground Badminton court Basketball court For food there is food court (mess), aromas, Nescafe and dana pani.",Faculty: Our law faculty had all the well qualified teachers. Thy all are good in their fields College is strict for there course curriculum They make difficult papers. The pass of aur college is 60%. The course curriculum is totally relevant to aur industry.,
Anonymous,Anonymous | Bachelor of Design (B.Des.) - Batch of 2027,Reviewed on 31 Oct 2023,4.4,4.4 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 4\nCrowd & Campus Life 5\nValue for Money 5,Well maintained environment and facilities.,"Placements: This is a new included degree course started from 2023 under school of liberal arts. Although it is a new curriculum the placements offered here are very good and the college have good connection with industries. Top recruiting companies are Deloitte and Accenture. About 75% students are getting internships and job opportunities. Roles offered are ui/ux design, animation, fashion, etc.","Infrastructure: The college has a good study space and facilities are well developed. 2 wifi zones are there. Well balanced classroom size is there and the college has a huge library with e library facilities. Mess food is very good. 24/7 medical facilities are available with a mini clinic and an emergency ambulance. 4 sports grounds are there like cricket, badminton and football and basketball.",Faculty: Well experienced teachers with higher qualification and industry based experiences are there. The course curriculum is new and relevant and it makes us industry ready. Pass percentage is 50%. Semester exams are not much difficult. Design students have a jury and a written test.,
Anonymous,Anonymous | B.Tech. in Civil Engineering - Batch of 2025,Reviewed on 28 Oct 2023,4,4.0 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 4,About alliance university.,Placements: Placements are quite normal. They are not giving much package the average package is round five Lacs. You have to get placed by your skills and marks and your potential. Many companies visit the campus. We need to do our own internships then onky we can fil something in our resume.,Infrastructure: The Wi-Fi of the hostel is fast but the facilities and the food is not upto the mark. The fee is too high and ot cost around 1.8 Lacs per yearthe infras of the classrooms and the qcademic block will be nice. The labs will be spacious and the provide good opurtunit7es.,Faculty: The quality education you get here. The faculty are so experienced. And many are from iits also. They are so friendly and experienced. So the tecahing will be so good. The only thing is you have to listen and grasp the things. Tge zenester papaes will be little difficult and tricky and we have to work hard.,
Chandana B,Chandana B | B.Tech. in Computer Science and Engineering - Batch of 2025,Reviewed on 25 Sep 2023,4,4.0 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 4,All about alliance university.,Placements: They provide good placements. Many companies visit the campus and the placement getting is completely based on individual like how well he carries his academics and skills. The average package can be 5 Lacs and max can be 16 Lacs. They don't offer internships.,Infrastructure: Hostel fee is more compared to other colleges. Hostel facilities are not so worth for the fee. The Wi-Fi is good. We get really good Wi-Fi connection. The classrooms are class and the faculty are so experienced. We have a really nice food court.,Faculty: The teachers are experienced and very friendly in nature. They provide us quality education and timely exams. The major drawback is like we don't get good internals because of the division like mse marks attendance marks and so on. It is really hard to score a good percentage.,
