Author_name,Batch_name,Review_date,total_star_comment,all_stars,Title_comment,Placements,Infrastructure,Faculty,other,no_topic,,,
Suraj potdar,Suraj potdar | MBA in Aviation and Aerospace Management - Batch of 2020,Reviewed on 5 May 2024,4.4,4.4 \nPlacements 4\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 5\nValue for Money 4,I am absolutely satisfied with college.,"Placements: Placement was amazing. As you can see, our college is a Tier 2 college and is still improving. The highest package the student secures is 30 LPA, while the average is 12 LPA. Aroon Aviation, the airport authority of India, is hiring students. The internship companies that come to college are not that great; they just need an employee with a degree and a low salary.","Infrastructure: College life is really fun. There are a lot of facilities provided by the college; they provide Wi-Fi with high-speed internet. I mostly like labs that have aviation engines, parts, and bodies; they are useful for studying. No, not have college hostel and canteen, but many PGs are available within walking distance of college. We have indoor and outdoor sports courts, and most students love to play indoor sports.","Faculty: Teachers and course both are practical-oriented; mostly, weightage is given to practical. Teachers use labs, the aviation model, and theoretical lectures in their teaching. MBA Aviation is a rare course; it is not offered by many companies, but our college has a good course structure; it is affiliated with Jain University, which is deemed industry-oriented. Semester exams are practical, and theoretical passing needs at least 40%.","Other: I chose this course because it is relevant to marketing strategy. The best thing about this course is that we get theoretical as well as practical knowledge. Our college has conducted many events, fest, inter-college competitions, sports activities, and scholarship tests—during the whole year.",,,,
Anonymous,Anonymous | MBA in Public Policy and Leadership - Batch of 2021,Reviewed on 20 Apr 2024,3.2,3.2 \nPlacements 3\nInfrastructure 3\nFaculty & Course Curriculum 3\nCrowd & Campus Life 3\nValue for Money 4,Good college and offline and online courses are available.,"Placements: The percent of students placed in our course is around 80, the placements are really good with high packages and the placement process is simple and easy. The highest average package is around 17 lacs, and the lowest is 5 to 8 lacs. Around 40 percent of students got internships at companies .","Infrastructure: The college has nice infrastructure and facilities for students and the college provides facilities like hostel rooms with attached bathrooms and good security for girls. The mess is good, the Wi-Fi is free, the library is useful to students and sports are limited .",Faculty: The teachers are helpful to students in their studies and labs. The teachers are well qualified and have higher experience and degrees in their subjects. The difficulty of the semester exams is high. The pass percent is above 80 and the course curriculum is relevant .,"Other: I chose this course because I wanted to become an ACCA. As I searched for this course at other institutes, I felt it was too costly. I got the course here at the same price but with an MBA, so it was the best opportunity. They conduct many fests to encourage students and teachers.",,,,
Anonymous,Anonymous | MBA in Finance - Batch of 2024,Reviewed on 29 Feb 2024,3.6,3.6 \nPlacements 3\nInfrastructure 4\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 3,Typical Tier 3 private MBA College.,"Placements: I had opted for MBA in Finance, about 30% students of entire batch were placed. As of now 14 LPA is the highest package. Big 4, top private banks (international) and Indian conglomerates came in search of competent candidates. 100% of them got the internship in various domains (specialisation). Tax associate and analyst were the roles being offered by the companies for the course.","Infrastructure: There is availability of good infrastructure in terms of table Wi-Fi (alone perspective), computer labs, classrooms, and good resourse center. There is lacking of a canteen facility in the college and ending machines have been installed in two locations of college.",Faculty: All teachers and professors were good and some were top notch and teaching quality was also above average. The course curriculum is intended to cement the theoretical base for future corporate career and less of practicality is observed in curriculum. The pass percentage is above 90% and exams are bit easy to pass.,"Other: This college has play areas, a gym, and lots of various programs and fest for exposure are conducted.",,,,
Anonymous,Anonymous | MBA in Marketing - Batch of 2021,Reviewed on 2 Dec 2023,5,5.0 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,A hub of excellence and diversity.,"Placements: In our year, almost 100% students got placed in many top recruiting companies like Google, Microsoft, Amazon, Wipro, IBM, TCS, Infosys, etc. The highest package was 35 lacs per annum, the average package was 20 lacs per annum, and the lowest package was 6.5 lacs per annum. 90% of our students got internships from our course at companies like Wipro, Microsoft, Google, etc. The top roles offered in our company are full-stack web developer, lecturer, etc.","Infrastructure: The college infrastructure is extraordinary because it was well designed by civil engineers. The quality of food that is provided in the mess is fully hygienic and delicious. Our college library has a large number of books. All classrooms at the college are well furnished. Their is a huge playground with badminton courts, etc. Wi-Fi facility is also available on the college campus.",Faculty: All the teachers at the college are well educated and knowledgeable in their respective subjects. Their teaching method is extraordinary. This course curriculum is relevant to making the students industry-ready. The pass percentage is 40%. It is very easy to gain maximum marks if students follow the guidance and methods of teachers.,"Other: Apart from academics we have 5 days international trip to Singapore. One international fest every year, one inter-college fest every year, ethnic day, and various regional celebrations.",,,,
Rabia khaiser,Rabia khaiser | Online MBA in International Finance - Batch of 2025,Reviewed on 16 Mar 2023,4.8,4.8 \nPlacements 4\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,Jain University is one of the best universities in Bangalore.,"Placements: The highest salary package offered in our course is 2.5 LPA. Big 4 accounting firms visit here. I just joined this course, so I don't know much about internships. This is the best college among other colleges, so internships and placements are easily available.","Infrastructure: As I am studying online. Overall, the facilities and infrastructure are great. They provide air-conditioned classrooms. There are excellent libraries.",Faculty: The pass percentage is 35% because attendance is not compulsory. This course is most relevant. I didn't find it at any other college other than Jain. It is very useful and worth the money you spend here. The online facility is the best.,"Other: I have chosen this course because an MBA provides detailed knowledge and complete information. It provides much knowledge and hard-soft skills, which you gain from earning your MBA, which is applicable across many industries. You can become more skilled and versatile regardless of your industry or job tilted because of widely applicable qualities like leadership, critical and analytical thinking, creativity and communication. There are many clubs, associations and forms like Rotaract, cultural forum, spots forum, human resource, college rules, regulations scrutinise team, etc., for students to show their active participants simultaneously to take part in extra co-curricular activities to show their hidden talent and build up their confidence in life.",,,,
Alyssa Selena mer ...,Alyssa Selena mer ... | MBA in Business Analytics - Batch of 2021,Reviewed on 19 Jan 2023,2.2,2.2 \nPlacements 3\nInfrastructure 2\nFaculty & Course Curriculum 2\nCrowd & Campus Life 2\nValue for Money 2,One of the best college that I know of.,"Placements: The placement is so good in our college as the college gives training for the placement as many big and MNCs companies like Amazon, TCS, Wipro, Cognizant visited our college for good jobs. Mostly 80 percent of students get selected by the companies and the placement package that the companies offers is INR 12 Lacs per annum and the lowest is INR 8 Lacs per annum .",Infrastructure: Hostel of the college is good as it not a hostel since it looks like a 2 BHK flat with all the facilities. In winters we get hot water for drinking as for the admission in the hostel the registration process is online. The hostel also has one canteen and the food of the canteen is good and many varieties are there and all the arrangements are hygienic .,Faculty: The course is very good for my career as the course is fully updated and the teachers also update themselves as they are very good and helpful. Their method of teaching is excellent and the way of explanation is so good as they are highly qualified in their fields. The college exams are in every semester and the exams are easy to pass .,"Other: I chose MBA in banking because it was a trending field with enormous opportunity. The course gave a complete insight into the Banking Sector. Better industry access and interaction. Events are a few with some international fests conducted, crowd is really wonderful, the campus surrounding is below industry standards with immense noise and disturbance.",,,,
Harini Rajan,Harini Rajan | MBA in Aviation and Aerospace Management - Batch of 2023,Reviewed on 29 Dec 2021,5,5.0 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,"This college is worth for money, and faculty members are best.","Placements: Students at CMS Business School are provided constant support, and advice right from the start to actualize their career dreams. It has a purpose-built skill development initiative called lead employability training to help students innovative interpersonal skills and make them future-ready.","Infrastructure: This college has excellent facilities, and students have a range of opportunities. Our exotic campus teemed with a culturally diverse student community, sports clubs, enviable greens, and cultural activities provide for an inclusive learning experience. The social camaraderie at CMS helps students be connected by similarities and enriched by differences.","Faculty: It follow the TAP-R model of learning which includes various activities, industrial practitioner sessions, online courses, etc. There is help desk support for candidates appearing in computer-based online examinations. The students can call their class coordinator at any time for technical help. The address and number are shared in the respective class groups.",Other: I have chosen this course because I had an interest in this area and wanted to work in my concerned area of interest in future. The college organises excellent events which include in-house events for its students as well as an invitation to other colleges as well.,,,,
JEEVANANTHAM,JEEVANANTHAM | Online MBA in Banking and Finance - Batch of 2023,Reviewed on 10 Dec 2021,5,5.0 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,"The college is good, and I am absolutely satisfied because of good placements.","Placements: The percentage of passed out students is 90% and above, and they are placed in good companies. The highest salary package offered is 22 Lacs per annum. The top recruiting companies are Google, Flipkart, Dell etc. Various roles are offered in my course. Above 85% of students got internships.","Infrastructure: The classrooms are well-maintained and are good. Wi-Fi on the campus has good speed. The labs are maintained well, and all the equipment is available. The library is very peaceful, and the books are maintained correctly. All the books are available.","Faculty: The faculty members in our college are very friendly. Their teaching is very good. The course is curriculum relevant and makes the students industry-ready. In some of the semesters, the questions are tough, and we can clear the exams.","Other: I have chosen this course because of the company's need, eligibility, and for further development. The college should improve its syllabus and teaching pattern. Fests and events are organised in our college, and they give us more exposure.",,,,
Bachu Sukesh Kumar,Bachu Sukesh Kumar | MBA in Aviation and Aerospace Management - Batch of 2022,Reviewed on 24 Sep 2021,4.6,4.6 \nPlacements 4\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 4,A place where you can find deep knowledge of the subject you need.,"Placements: In college, the placements have been started for non-aviation branches. For aviation, they might bring the companies some delays as the placements cells say that they are trying their best to bring the companies to the college. As per the college, the average salary of the package is 6.5L. Placements cells still not got any companies till now for our branch so no details is been there to share. Almost 80% of the students got aviation-related internships provided by the college such as companies like aero works, MRO companies, etc visited for placements.","Infrastructure: The entire infrastructure of the course is decent. Wi-Fi is been provided by the college, classrooms were good ventilated as there are no any problems. The library is so perfect and with the best class amount of books that can be helped with your MBA syllabus. I'm not sure about the hostel of the college as I've not been in the hostel. But right now they are providing good enough meals.","Faculty: As from this year 2021, they have introduced TAP-R model for the students of the CMS B-SCHOOL which made the syllabus to be understood in a perfect way and faculty made students to do work in a practical way that they provided through the assignments. By this tap-r model we can able to know deeply about the subject knowledge. Every faculty for the subjects meant are Ph.D. holders. There's no doubt of the issue in teaching.",Other: It is located in prime location of Bangalore. Events and fests are conducted frequently in our college. Campus crowd is little heavy. Well connected to all areas.,,,,
Albin Mathew,Albin Mathew | MBA in Marketing and Human Resource Management - Batch of 2020,Reviewed on 5 Jan 2021,5,5.0 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,"Best in class facilities, Top faculty members and the best placements.","Placements: Inspite of these tough times we were given the best opportunities from the placement team. All my batchmates from 2018-20 batch were placed in top companies across the globe with very attractive packages. I have been placed at Khimji Ramdas, a company based out of Oman with the highest package of my batch - 18 LPA. Companies like ANZ, KPMG, PWC, Byjus, Deloitte, ICICI, HDFC, Amazon, McAfee, Airtel and lot more recruited us.","Infrastructure: Jain deemed-to-be-university is known for its best in class infrastructure and facilities. We have access to the top online libraries in the world, high-speed Wi-Fi throughout the campus, large collection of reference books in the library, top notch computer labs, the best of everything!","Faculty: I wouldn't have words to describe how best the facilities are. \the best in the state\"" is what I would describe. Any faculty for that matter would not stop teaching inside the 4 walls. We would regularly host case study discussion","Other: CMS is not only a hub for excellence but also a home of talents in the context of future business tycoons. Flagship events like Cranium give you the opportunity to excel and explore the world around. Sports event, weekly seminars, presentations, career development sessions, and a lot more events are conducted in the college.",,,,
